=== Max TMAX and Min TMIN registered between 2025-01-01 and 2025-12-31 for each station ===
STATION NAME                             DATE MAX      TMAX DATE MIN      TMIN
SALTA AERO                               05/02/2025    34.4 03/07/2025    -5.3
SAN ANTONIO OESTE AERO                   30/01/2025    26.3 30/06/2025   -10.4
SAN FERNANDO AERO                        10/02/2025    37.9 02/07/2025    -5.1
SAN JUAN AERO                            10/02/2025    44.0 01/07/2025    -8.0
SAN JULIAN AERO                          05/01/2025    32.7 30/06/2025   -11.3
SAN LUIS AERO                            10/02/2025    40.7 30/06/2025    -6.7
SAN MARTIN (MZA)                         10/02/2025    42.7 30/06/2025    -5.9
SAN RAFAEL AERO                          22/02/2025    39.5 30/06/2025    -8.4
SANTA CRUZ AERO                          29/01/2025    29.8 07/07/2025    -9.3
SANTA ROSA AERO                          22/02/2025    41.4 30/06/2025    -7.3
SANTA ROSA DE CONLARA AERO               22/02/2025    40.6 30/06/2025   -11.8
SANTIAGO DEL ESTERO AERO                 05/02/2025    44.2 03/07/2025    -3.5
SAUCE VIEJO AERO                         10/02/2025    40.9 01/07/2025    -7.0
SUNCHALES AERO                           24/02/2025    42.5 01/07/2025    -4.7
TANDIL AERO                              10/02/2025    37.7 02/07/2025    -8.1
TARTAGAL AERO                            25/02/2025    39.1 24/06/2025    -1.0
TERMAS DE RIO HONDO AERO                 05/02/2025    42.7 24/06/2025    -3.0
TINOGASTA                                10/02/2025    41.5 01/07/2025    -8.5
TRELEW AERO                              12/01/2025    43.6 01/07/2025   -13.2
TRENQUE LAUQUEN                          15/01/2025    38.5 01/07/2025    -5.1
TRES ARROYOS                             22/02/2025    36.8 01/07/2025    -5.0
TUCUMAN AERO                             10/02/2025    41.7 02/07/2025    -0.6
USHUAIA AERO                             06/04/2025    19.1 29/06/2025    -4.3
USPALLATA                                10/02/2025    36.7 30/06/2025   -11.2
VENADO TUERTO AERO                       10/02/2025    37.2 01/07/2025    -8.0
VICTORICA                                22/02/2025    41.1 30/06/2025   -11.0
VIEDMA AERO                              20/03/2025    36.6 23/07/2025    -5.0
VILLA DE MARIA DEL RIO SECO              24/02/2025    42.2 01/07/2025    -8.4
VILLA DOLORES AERO                       09/02/2025    40.8 30/06/2025    -8.4
VILLA GESELL AERO                        10/02/2025    39.1 02/07/2025    -6.4
VILLA REYNOLDS AERO                      10/02/2025    41.0 30/06/2025   -12.7

=== Station with the highest temperature range in the same day ===
STATION NAME                             DATE         RANGE
---------------------------------------- ---------- -------
JACHAL                                   21/09/2024    35.6

=== Station with the lowest temperature range in the same day ===
STATION NAME                             DATE         RANGE
---------------------------------------- ---------- -------
BASE CARLINI (EX JUBANY)                 28/11/2024     0.7

=== Maximum temperature difference between two stations in the same day ===
DATE          TMAX STATION MAX                       TMIN STATION MIN                       DIFF
---------- ------- ------------------------------ ------- ------------------------------ -------
07/10/2024    42.8 LAS LOMITAS                      -34.2 BASE BELGRANO II                  77.0

=== Minimum temperature difference between two stations in the same day ===
DATE          TMAX STATION MAX                       TMIN STATION MIN                       DIFF
---------- ------- ------------------------------ ------- ------------------------------ -------
06/10/2024   -25.1 BASE BELGRANO II                  26.0 RIVADAVIA                        -51.1
